TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test2;20;USED;36.62;4293938;0.90;1.90;3.97;TRUE;15.40;0.12;8.49;17.66;3.27;10.22;33.07;8.87;18.71;1.47;0.35;0.71;1.87;0.99;1.36;1964
Test3;20;USED;64.25;8869498;0.80;1.27;2.18;TRUE;24.56;0.12;14.12;36.43;6.64;21.02;60.99;18.11;35.15;1.43;0.36;0.71;2.02;0.99;1.37;1964
Test4;20;USED;108.33;15890720;0.75;1.01;1.62;TRUE;39.82;0.12;22.80;65.23;11.81;37.60;105.06;32.30;60.40;1.43;0.35;0.71;2.02;0.99;1.37;1964
Test5;20;USED;204.86;32095088;0.72;0.85;1.06;TRUE;70.41;0.12;44.56;131.76;23.77;75.87;202.07;65.06;120.44;1.43;0.35;0.72;1.87;0.99;1.36;1964
Test6;20;USED;418.62;67108864;0.71;0.77;0.89;TRUE;140.73;0.11;89.77;275.32;49.63;158.56;415.22;135.82;248.33;1.42;0.35;0.72;1.87;0.99;1.36;1964
Test7;20;USED;830.43;134217728;0.70;0.73;0.78;TRUE;279.22;0.12;178.17;550.58;99.15;317.04;827.40;271.46;495.21;1.41;0.35;0.71;1.87;0.99;1.36;1964
Test113;20;NOT USED;20.25;2239815;1.06;1.26;2.76;TRUE;0.16;0.12;0.14;13.19;12.98;13.00;13.35;13.10;13.14;1.52;0.79;1.09;1.79;1.08;1.76;1395
Test114;20;NOT USED;32.03;4293938;0.88;1.02;2.43;TRUE;0.16;0.12;0.14;25.22;24.84;24.87;25.38;24.96;25.02;1.54;0.80;1.10;1.79;1.08;1.76;1395
Test115;20;NOT USED;59.08;8869498;0.78;0.89;2.44;TRUE;0.16;0.12;0.13;52.10;51.26;51.32;52.26;51.40;51.46;1.52;0.80;1.09;1.79;1.08;1.76;1395
Test116;20;NOT USED;98.84;15890720;0.75;0.86;2.83;TRUE;0.15;0.12;0.14;93.70;91.81;91.92;93.86;91.95;92.06;1.52;0.80;1.09;1.79;1.08;1.76;1395
Test117;20;NOT USED;193.61;32095088;0.72;0.80;2.23;TRUE;0.16;0.12;0.13;188.16;185.38;185.55;188.32;185.51;185.69;1.51;0.80;1.09;1.79;1.08;1.76;1395
Test118;20;NOT USED;397.11;67108864;0.71;0.78;2.14;TRUE;0.15;0.12;0.13;393.11;387.58;387.88;393.27;387.72;388.02;1.54;0.80;1.10;1.79;1.08;1.76;1395
Test119;20;NOT USED;790.46;134217728;0.70;0.78;2.29;TRUE;0.15;0.12;0.13;787.39;775.13;775.77;787.54;775.25;775.91;1.54;0.80;1.09;1.79;1.08;1.76;1395
