TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test1;50;USED;44.88;2239815;0.70;1.28;8.99;TRUE;33.60;0.12;7.58;32.93;1.54;18.82;40.57;16.86;26.41;2.46;0.35;1.48;1.92;0.96;1.54;549
Test2;50;USED;74.50;4293938;0.70;0.95;4.29;TRUE;52.00;0.12;13.72;63.07;2.86;36.00;65.34;44.52;49.72;2.47;0.38;1.48;1.92;0.96;1.54;549
Test3;50;USED;135.97;8869498;0.70;0.82;2.49;TRUE;103.31;0.12;26.63;130.21;5.80;74.30;130.77;87.94;100.93;2.46;0.37;1.48;1.92;0.96;1.54;549
Test4;50;USED;246.94;15890720;0.70;0.77;1.71;TRUE;171.01;0.12;46.18;233.24;10.32;133.07;233.38;164.30;179.25;2.46;0.37;1.48;1.92;0.96;1.54;549
Test5;50;USED;481.45;32095088;0.70;0.74;1.26;TRUE;341.08;0.12;93.61;471.02;20.78;268.71;471.16;331.66;362.33;2.45;0.39;1.47;1.92;0.96;1.54;549
Test6;50;USED;988.93;67108864;0.70;0.72;1.06;TRUE;699.35;0.12;194.21;984.80;43.41;561.75;984.95;693.28;755.96;2.49;0.40;1.48;1.92;0.96;1.55;549
Test7;50;USED;1974.31;134217728;0.70;0.71;0.85;TRUE;1400.00;0.12;389.54;1969.54;86.68;1123.45;1969.68;1386.38;1512.99;2.46;0.35;1.48;1.92;0.96;1.54;549
Test8;50;NOT USED;53.84;2239815;0.85;1.07;9.28;TRUE;6.71;0.12;0.27;35.66;32.91;32.99;42.38;33.04;33.26;3.16;1.80;2.36;1.82;1.28;1.59;549
Test9;50;NOT USED;77.96;4293938;0.78;0.98;9.82;TRUE;5.66;0.12;0.25;68.72;63.06;63.19;74.38;63.18;63.44;3.14;1.79;2.36;2.55;1.28;1.61;549
Test10;50;NOT USED;146.09;8869498;0.73;0.82;4.79;TRUE;5.93;0.12;0.26;135.44;130.20;130.32;141.37;130.32;130.58;3.18;1.81;2.36;1.82;1.28;1.60;549
Test11;50;NOT USED;253.53;15890720;0.72;0.76;2.92;TRUE;5.98;0.12;0.26;238.33;233.22;233.34;244.31;233.35;233.61;3.16;1.79;2.36;1.82;1.28;1.59;549
Test12;50;NOT USED;491.82;32095088;0.70;0.75;3.04;TRUE;4.06;0.12;0.22;481.93;471.00;471.24;486.00;471.12;471.47;3.18;1.79;2.37;1.82;1.28;1.59;549
Test13;50;NOT USED;999.02;67108864;0.70;0.70;0.72;TRUE;1.96;0.12;0.18;985.02;984.78;984.81;986.77;984.91;984.99;3.15;1.78;2.36;1.82;1.28;1.59;549
Test14;50;NOT USED;1987.25;134217728;0.70;0.70;0.80;TRUE;6.88;0.12;0.28;1971.58;1969.52;1969.61;1978.46;1969.65;1969.89;3.28;1.80;2.37;1.82;1.28;1.59;
;549;;;;;;;;;;;;;;;;;;;;;;;
Test8;50;NOT USED;52.68;2239815;0.85;1.34;22.45;TRUE;5.22;0.12;0.24;39.96;32.91;33.07;45.18;33.04;33.32;3.17;1.81;2.36;1.82;1.28;1.59;549
Test9;50;NOT USED;83.13;4293938;0.78;0.82;1.63;TRUE;7.53;0.12;0.29;63.59;63.06;63.08;71.12;63.18;63.38;3.16;1.79;2.36;1.82;1.28;1.59;549
Test10;50;NOT USED;150.90;8869498;0.73;0.81;4.26;TRUE;5.95;0.12;0.26;134.75;130.20;130.30;140.71;130.32;130.57;3.19;1.80;2.37;1.82;1.28;1.59;549
Test11;50;NOT USED;253.72;15890720;0.72;0.72;0.76;TRUE;7.43;0.12;0.29;233.32;233.22;233.24;240.69;233.35;233.53;3.16;1.79;2.36;1.82;1.28;1.59;549
Test12;50;NOT USED;491.55;32095088;0.70;0.74;2.45;TRUE;5.03;0.12;0.24;479.16;471.00;471.19;484.19;471.13;471.43;3.15;1.80;2.37;1.82;1.28;1.59;549
Test13;50;NOT USED;1004.79;67108864;0.70;0.71;1.16;TRUE;5.90;0.12;0.25;989.34;984.78;984.90;995.24;984.91;985.16;3.16;1.79;2.37;1.82;1.28;1.59;549
Test14;50;NOT USED;1991.35;134217728;0.70;0.71;1.29;TRUE;3.59;0.12;0.21;1981.21;1969.52;1969.79;1984.81;1969.65;1970.00;3.13;1.81;2.37;1.82;1.28;1.59;549
Test1;50;USED;45.53;2239815;0.90;1.42;6.69;TRUE;33.68;0.12;7.26;32.93;1.52;18.81;36.91;23.31;26.07;2.46;0.38;1.48;2.30;0.96;1.56;549
Test2;50;USED;72.64;4293938;0.80;1.09;4.40;TRUE;55.04;0.12;13.72;63.07;2.86;36.00;68.38;42.50;49.72;2.45;0.39;1.48;1.92;0.96;1.54;549
Test3;50;USED;137.14;8869498;0.74;0.89;2.39;TRUE;103.86;0.12;26.56;130.21;5.81;74.30;131.35;88.00;100.87;2.47;0.38;1.48;1.92;0.96;1.55;549
Test4;50;USED;243.83;15890720;0.72;0.81;1.65;TRUE;174.28;0.12;47.42;233.24;10.34;133.07;233.38;164.29;180.49;2.47;0.37;1.48;1.92;0.96;1.54;549
Test5;50;USED;482.20;32095088;0.71;0.84;5.75;TRUE;333.97;0.12;92.03;471.02;20.78;268.79;471.16;331.65;360.82;2.49;0.39;1.48;1.92;0.96;1.54;549
Test6;50;USED;988.70;67108864;0.70;0.82;5.86;TRUE;698.68;0.12;194.23;984.80;43.37;561.96;984.94;693.28;756.19;2.48;0.37;1.48;1.92;0.96;1.54;549
Test7;50;USED;1972.92;134217728;0.70;0.71;0.85;TRUE;1400.14;0.12;390.37;1969.54;86.69;1123.44;1969.68;1386.39;1513.81;2.46;0.37;1.48;1.92;0.96;1.54;549
