TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes
Test1;50;USED;29.38;2239815
Test1;50;NOT USED;45.82;2239815

Test2;50;USED;38.86;4293938
Test2;50;NOT USED;75.46;4293938

Test3;50;USED;64.62;8869498
Test3;50;NOT USED;139.19;8869498

Test4;50;USED;103.53;15890720
Test4;50;NOT USED;238.09;15890720

Test5;50;USED;193.06;32095088
Test5;50;NOT USED;466.19;32095088

Test6;50;USED;381.14;67108864

Test7;50;USED;746.39;134217728



