TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test120;35;USED;121.29;2239815;0.77;1.04;1.49;true;18.46;0.12;6.71;115.74;12.07;28.55;115.90;12.20;35.26;6.82;0.82;2.66;2.07;0.93;1.41;156
Test121;35;USED;232.72;4293938;0.73;0.89;1.70;true;30.59;0.12;13.02;221.82;23.10;54.68;221.98;23.23;67.70;6.81;0.80;2.66;2.07;0.93;1.41;156
Test122;35;USED;468.33;8869498;0.71;0.82;1.56;true;52.23;0.12;24.27;458.10;47.66;112.90;458.26;47.78;137.17;6.82;0.81;2.66;2.56;0.93;1.44;156
Test123;35;USED;830.64;15890720;0.70;0.76;1.51;true;94.40;0.12;43.54;820.68;85.33;202.21;820.83;85.46;245.75;6.82;0.81;2.66;2.07;0.93;1.41;156
Test124;35;USED;1667.65;32095088;0.70;0.74;1.31;true;177.90;0.12;84.27;1657.48;172.31;408.36;1657.64;172.43;492.64;6.81;0.81;2.66;2.07;0.93;1.43;156
Test125;35;USED;3469.61;67108864;0.70;0.72;1.04;true;367.37;0.13;175.81;3465.60;360.22;853.77;3465.75;360.36;1029.58;6.81;0.81;2.66;2.07;0.93;1.41;156
Test126;35;USED;6942.83;134217728;0.69;0.71;1.01;false;727.34;0.13;351.30;6931.14;720.40;1707.42;6931.30;720.53;2058.73;6.82;0.80;2.65;2.56;0.93;1.44;156
Test127;35;NOT USED;118.20;2239815;0.78;0.97;1.08;true;0.16;0.12;0.14;115.76;24.11;26.74;115.92;24.23;26.88;6.82;1.29;1.92;2.00;1.47;1.63;156
Test128;35;NOT USED;226.38;4293938;0.73;0.83;0.89;true;0.16;0.13;0.14;221.82;46.17;51.20;221.98;46.30;51.35;6.81;1.29;1.92;2.00;1.47;1.63;156
Test129;35;NOT USED;460.82;8869498;0.71;0.76;0.79;true;0.16;0.13;0.14;458.11;95.32;105.70;458.27;95.45;105.84;6.81;1.29;1.92;2.00;1.47;1.63;156
Test130;35;NOT USED;824.10;15890720;0.70;0.73;0.75;true;0.17;0.12;0.14;820.68;170.74;189.32;820.84;170.87;189.46;6.81;1.30;1.92;2.00;1.47;1.63;156
Test131;35;NOT USED;1664.45;32095088;0.70;0.71;0.72;true;0.17;0.12;0.14;1657.48;344.79;382.31;1657.64;344.92;382.45;6.82;1.29;1.92;2.00;1.47;1.63;156
Test132;35;NOT USED;3474.41;67108864;0.70;0.70;0.73;true;0.17;0.12;0.14;3465.60;720.88;799.32;3465.75;721.01;799.47;6.81;1.29;1.92;2.00;1.47;1.63;156
Test133;35;NOT USED;6937.62;134217728;0.69;0.70;0.71;false;0.16;0.13;0.14;6931.12;1441.71;1598.58;6931.28;1441.84;1598.73;6.82;1.29;1.92;2.00;1.47;1.64;156
