TestID;Number of Peers;P2P Algorithm;Total Duration [s];Total Received Bytes;Minimum Transfer Time Error Rate [%];Average Transfer Time Error Rate [%];Maximum Transfer Time Error Rate [%];Same PDF File;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Smallest Bandwidth [Kbps]
Test1;20;USED;21.13;2239815;1.10;2.72;8.16;TRUE;12.23;0.09;4.81;9.24;1.77;5.35;18.46;4.67;10.17;9.54;1.00;3.87;2.16;0.99;1.58;1964
Test2;20;USED;35.95;4293938;0.93;1.79;4.15;TRUE;15.39;0.09;8.02;17.67;3.27;10.21;33.06;8.82;18.23;9.15;1.28;3.78;2.24;0.99;1.60;1964
Test3;20;USED;63.63;8869498;0.80;1.21;2.56;TRUE;24.55;0.10;13.82;36.43;6.66;21.01;60.98;18.09;34.83;9.51;1.59;3.72;2.24;0.99;1.60;1964
Test4;20;USED;107.34;15890720;0.75;0.97;1.48;TRUE;39.63;0.10;23.74;65.24;11.82;37.59;104.85;32.27;61.33;6.52;1.48;3.19;2.16;1.02;1.50;1964
Test5;20;USED;204.61;32095088;0.73;0.83;1.08;TRUE;70.56;0.11;44.77;131.71;23.78;75.86;201.81;65.03;120.64;10.26;0.84;3.85;2.16;0.99;1.49;1964
Test6;20;USED;418.43;67108864;0.71;0.77;0.96;TRUE;141.00;0.11;90.22;275.33;49.66;158.56;416.09;135.80;248.78;7.79;1.24;4.02;2.31;0.99;1.62;1964
Test7;20;USED;831.35;134217728;0.70;0.77;1.18;TRUE;277.29;0.10;178.93;550.74;99.54;317.10;827.89;271.43;496.03;8.38;1.15;4.08;2.24;1.02;1.67;1964
Test8;20;NOT USED;18.45;2239815;1.06;1.20;1.36;TRUE;0.14;0.10;0.12;13.01;12.98;12.99;13.16;13.08;13.12;6.31;1.55;3.74;2.51;1.08;2.08;1395
Test9;20;NOT USED;30.45;4293938;0.92;0.96;1.05;TRUE;0.15;0.10;0.12;24.88;24.85;24.86;25.04;24.95;24.99;7.13;1.90;4.24;3.23;1.79;2.26;1395
Test10;20;NOT USED;56.67;8869498;0.79;0.82;0.87;TRUE;0.16;0.11;0.13;51.30;51.26;51.28;51.47;51.38;51.41;7.44;2.46;4.43;2.51;1.08;2.22;1395
Test11;20;NOT USED;97.35;15890720;0.75;0.76;0.79;TRUE;0.16;0.10;0.13;91.85;91.81;91.83;92.01;91.91;91.96;6.68;2.01;4.18;2.51;1.79;2.19;1395
;;;;;;;;;;;;;;;;;;;;;;;;
Test1;20;USED;22.08;2239815;1.08;2.90;7.06;TRUE;12.28;0.11;5.14;9.24;1.75;5.36;18.44;4.72;10.51;1.44;0.32;0.71;1.87;0.99;1.36;1964
Test2;20;USED;36.62;4293938;0.90;1.90;3.97;TRUE;15.40;0.12;8.49;17.66;3.27;10.22;33.07;8.87;18.71;1.47;0.35;0.71;1.87;0.99;1.36;1964
Test3;20;USED;64.25;8869498;0.80;1.27;2.18;TRUE;24.56;0.12;14.12;36.43;6.64;21.02;60.99;18.11;35.15;1.43;0.36;0.71;2.02;0.99;1.37;1964
Test4;20;USED;108.33;15890720;0.75;1.01;1.62;TRUE;39.82;0.12;22.80;65.23;11.81;37.60;105.06;32.30;60.40;1.43;0.35;0.71;2.02;0.99;1.37;1964
Test5;20;USED;204.86;32095088;0.72;0.85;1.06;TRUE;70.41;0.12;44.56;131.76;23.77;75.87;202.07;65.06;120.44;1.43;0.35;0.72;1.87;0.99;1.36;1964
Test6;20;USED;418.62;67108864;0.71;0.77;0.89;TRUE;140.73;0.11;89.77;275.32;49.63;158.56;415.22;135.82;248.33;1.42;0.35;0.72;1.87;0.99;1.36;1964
Test7;20;USED;830.43;134217728;0.70;0.73;0.78;TRUE;279.22;0.12;178.17;550.58;99.15;317.04;827.40;271.46;495.21;1.41;0.35;0.71;1.87;0.99;1.36;1964
